,Rating,Review Title,Review Body
35,5,Worth every penny,Really awesome tv best quality very good sound... Just go for it guys bcz its very bettet than mi TV.  Very low prize best quality tv great and tqq flipkart
36,5,Wonderful,Excellent
37,4,Wonderful,"Sound quality not good , picture quality good ,  as this price very very good."
38,5,Terrific,Good tv in this price. sound quality is also good 👍👍
39,5,Just wow!,"Very nice samsung LED TV , good quality 💖. Best sound quality.❤️Quick mobile support  and  good quality 😍Samsung sarvice is very good 😊. My choice five of one Always Samsung 😊💖❤️"
40,5,Excellent,Very good product also great service from Samsung. I am writing this after 15 days usage. It's a quality product and mirror playing and other connectivity is scoring good number.
41,5,Mind-blowing purchase,Awsm... value for money...good product....fast delivery...and services are fantastic.... thanks flipkart...❤️🤘
42,5,Fabulous!,"After watching 3-4 days on this led tv.. I found it good worth of money.. Picture quality is awesome and clear.. Sound is good and not need to connect any other speaker because the output of the TV speakers is enough to enjoy a loud sound experience. Connectivity options are good and quick.. Overall I will recommended it to buy  over Mi, realme and other similar brands.."
43,5,Excellent,🥰🥰happy
44,5,Best in the market!,Very good TVSound and picture quality is bestConnectivity is goodGood service of flipkart
45,5,Perfect product!,It is very nice 😘😘and good colitis 🎆🎇🎆🎉🎊📺📺📺
46,4,Good quality product,"Awesome smart tv at this price sound quality and picture is super, connectivity also excellent it have all the smart tv apps just go for it, Best smart tv at this value.And filpkart packing is very good , thank you filpkart for your services."
47,4,Very Good,"This is an initial impression. { just 2 days}Delivered before date, and installation done within 3 hrs which is very impressive.Pros1. Value for money2. Useful apps are pre-loaded3. Connectivity is good4. Picture quality is goodCons1. Table stand / walk mount not included in the box. But you have an option to select at the time of installation. Ideally we should get both, but you will get either. { DO NOT PAY ANYTHING FOR TABLE STAND OR WALL MOUNT, ITS FREE FROM SAMSUNG}2. Sound is..."
48,4,Wonderful,Good
49,4,Good choice,Most amazing tv at amazing price. Right from placing the order to getting installation done everything was smooth. I would like to recommend this tv to everyone.
50,4,Really Nice,Nice and good
51,4,Nice product,Good
52,4,Good quality product,"Good Television For Modern Time ,If You Want It Then Go Nd Buy It ,,,👍"
53,4,Delightful,"Pros: Pricing - It comes at a lower price than even a standard smartphone. Picture - Picture quality is good. However, square pixels are clearly seen if looked closely. Sound - In a nutshell, ""Awesome"". Value for money. Pre-installed apps - It has Hotstar, Netflix, YouTube, etc.and few other similar apps built-in. Just switch on your internet and enjoy.Cons: Bluetooth - It lacks bluetooth connectivity which I feel is unbelievable.HD Ready only - Resolution is not that great. But keeping..."
54,5,Simply awesome,Nice tv. Picture and sound quality is good. But there is no table top stand in the box. You have to ask the technician for table top stand if you don't want wall mount. Table top stand is free of cost. Overall good product.
55,4,Nice product,"Review after 2weeks Am already using Mi 4a Pro for last one year,Comparing with Mi 32inch tv#picture clarity Mi is winner #for Audio clarity samsung is winner, really super soundComming to samsung tvPros Sound is far better than miFast boot and opening is fast - mi tv is delay in boot and switching, app openingUser friendly, helpful for old age peopleBuild is super ConsThick bizelsCable tv picture is not that good.. use set top box for better results"
56,5,Highly recommended,Good picture good product good sound amazing product thank you Flipkart good delivery
57,5,Simply awesome,TV is very  good at price level all features is good but no headphone jack disney Hotstar apps is not available in the home application that's it thank you.
58,5,Awesome,I am fully satisfied with this product... Great picture quality..
59,5,Classy product,Overall good and excellent for this budget price. But one suggestion must send table stand with box
60,5,Classy product,Nice TV at this price rang
61,4,Value-for-money,Good
62,5,Simply awesome,All should buy this amazing product thanku flipkart 🥰🥰🏆
63,4,Worth the money,Go through It !
64,5,Mind-blowing purchase,Connecting with pc is best ...... Netflix working very better and sound quality is also best .Hd support is very best .....1080 p with youtube is awesomeInstallation done in 2 days
65,5,Perfect product!,Nice product
66,4,Wonderful,"Samsung 32 inch smart tv is a good one to buy. Picture quality is very nice. When you are running via internet, bandwidth is the main priority. High bandwidth you can watch best picture. But i am dissatisfied with the sound. Although it has 20watt rms speakers, but sound is average. Bluetooth is unavailable in this model. I think in low budget its the best tv to buy."
67,5,Awesome,Just outstanding performance.... Thanks flipkart. This product is very chif and just wow
68,5,Highly recommended,Nice LED Smart For Best
69,5,Perfect product!,"Very good Tv, Nice picture quality but sound quality not good but overall good....Thank you Flipkart for fast delivery and installation, I'm satisfied for this 🙏👍"
70,5,Wonderful,Samsung HD led TV nice
71,5,Highly recommended,"Wow!!! I am very surprised about it. It is very awesome and nice picture quality and like of Full HD but it is HD. It is Ultra HD + HDR, Deep Colour (True beautiful Colour) I am extremely happy and mind blowing. Thank Flipkart Service. I already giving rating of 5/5 🔥.Picture/Sound/Connect or all are rating of 5/5 🔥🔥🔥"
72,5,Wonderful,Awesome product by samsung.But installation process is slow this time.
73,5,Worth every penny,"No laging, Sound quality is better than  others (in 20 w group),picture quality is good but not satisfied ,Value for money,in this price range this tv is better than other  Chinese brand like MI,realme ,one plus and  extras....!I give 4.2 stars."
74,5,Great product,"Amazing product,i,am happy ????"
75,5,Terrific,Good
76,5,Great product,Super
77,4,Good quality product,Very nice product 😊👍Fastest delivery 🚚Installation and demo done by very next day 👍👍
78,5,Simply awesome,"Bazel less slim ,samsung is master of good disply  picture quality is really excellent, connectivity is also good .Really satisfied with the purchase also quick delivery by flipkart delivery partner."
79,5,Terrific,Fabulous product 😘😘There is some delay  on product delivery...Overall the product is good and product quality is also good product delivery in good condition ...Fully satisfied with this product...Value of money....Thanks to flipkart😘✌️
80,4,Pretty good,It is good product in reasonable price.
81,4,Good quality product,Sound quality is good. Display is super. They always maintain the quality. Value for money. As speaker given in bottom it is suitable for wall mounting only
82,4,Delightful,Nice tv
83,5,Terrific,Amazing picture quality and superb connectivity.. sound good as well.. one flause I found is it does not have bluetooth.. sadly? overall good value for money...
84,5,Best in the market!,Picture quality so good...must buy...just go for it 🤗
85,5,Classy product,Verry good smart TV with this range.installation person come on given time but tv delivery is 3 days late on given time.overall tv is very good
86,5,Fabulous!,Nyc product
87,5,Worth every penny,Good pictures quality and good 👍sound quality...
88,4,Wonderful,Nice 👍
89,5,Highly recommended,Good 👍
90,5,Simply awesome,Very very good product good picture Colette
91,5,Wonderful,"Picture quality awesome, sound quality very good. Don't purchase other brand. Samsung is best choice."
92,5,Excellent,Nice and awesome thank Flipkart for such a great deal thank u Samsung
93,5,Classy product,Awesome product from samsung and negative is  less no of ports
94,4,Pretty good,Worth
95,4,Delightful,Looking nice. Writing this review after 3 days of buying. I have not connected wireless keyboard and mouse yet.
96,5,Simply awesome,Nice experience....value for money!!
97,5,Wonderful,Fully Satisfied this Tv
98,5,Perfect product!,Super design
99,5,Awesome,Great Quality And Superfast Installation Service from Samsung
100,5,Perfect product!,Good 👍
101,5,Wonderful,"Liked it hope i would like more in coming days ,,change my samsung 24 to samsung 32,, like samsung products"
102,5,Wonderful,Fantastic
103,5,Simply awesome,Deliverd on time but after 6 days of delivery no one of samsung service engineer has called me for installation flipcart customer care has also not able to help me In Other side tv is awesome picture quality and sound  is perfect
104,5,Fabulous!,"Good quality TV in low rangeFast deliveryFast and good installationVideo quality ,audio and other functions are really well"
105,5,Awesome,Ok super quality TV
106,4,Pretty good,Very good TV
107,5,Just wow!,It's a brand not chaina product picture quality absolutely perfect I will give it 110 out of 100 watching movie and enjoying this festive free times loving it
108,5,Awesome,Nice product...thncx flipkart
109,5,Terrific purchase,Awesome products
110,5,Perfect product!,Wow just awsm must buy
111,5,Wonderful,Best picture quality and sound ...
112,5,Just wow!,Nice Tv
113,5,Excellent,Lovely experience with my new Samsung led tv
114,5,Must buy!,"Value for money...All spects meet perfectly.Good sound, visualization, connectivity."
115,5,Classy product,Nice
116,3,Does the job,How can I use home theater without HDMI port
117,3,Does the job,Best TV but there was no base stand in the box package.
118,3,Fair,"I began having a problem with my Tv a month after I bought it. Whenever I changed channels there would be no picture for a couple of seconds. I thought it was the cable connection issue, and being Covid time just bore with it and did not call cable guys.  But it continued and later my cable guy tells me it a problematic TV set. I don't know who to contact, whether Flipkart or the TV company! Any lead/help would be most welcome."
119,4,BEST TV IN THIS RANGE,"I don't have any pics right now, but believe me its far better than any android tv.it has very good sound quality comparatively.go for samsung dont buy any local brand so called android tvs.I have separately purchased android box,as i was aware of this tv is running on Tizen os,but believe me almost never used that android box ,because it has almost all apps with full updates and support.One most valuable feature I have found in this tv is it has pre installed SAMSUNG IP TV which has alm..."
120,4,Wonderful,Led Was Good one Thing Missing Bluetooth . Over all Good Sound was good ... Price was Good
121,4,Really Nice,"Tv is good, installation done after 2 days of receipt. Sound is nice and screen is also bright. But, installation guy was asking for money when the cost was free for this TV. I told him the same, he said people gives, company should take care of this thing."
122,4,Wonderful,Value for money
123,4,Worth the money,Happy with this product
124,4,Really Nice,Overall it is a good product but it have to some improvement in sound system .
125,4,Very Good,Nice product .Sound quality is best.Picture quality perfect
126,5,Excellent,It's better than OnePlus and Xiaomi Android TV itsPicture quality is so good  Volume is also so good ...
127,5,Wonderful,The tv is nice and all. The problem tho is that it does not have bluetooth connectivity. I mean waht could have been so difficult in adding bt capability. Also the speaker are a bit low in volume. Everything else is superb.
128,5,Must buy!,"Good, Must Buy"
129,5,Simply awesome,I really love the product 💝Service is also good
130,5,Just wow!,Nice and super installation was done at next day very nice
131,5,Fabulous!,Delivery Was on time tv is just good Exallent view Angle Super connectivity
132,5,Excellent,Worth for money....I am so happy...It's my first T.V.
133,5,Perfect product!,Nice
134,5,Worth every penny,"Amazing picture, superb sound quality, worth buying this smart TV."
135,5,Highly recommended,Fabules purchase....value for money tq samsung and flipkart💐💐
136,5,Just wow!,Able to play Ultra HD Content.Very good product as well as value for money product.
137,5,Classy product,This ie good TV ad per picture sound and smart and built quality super..run on TIZON os..Netflix zee5 YouTube amazon prime voot hotstar many favrt apps are playing smooth..and many apps is store but not range of google tv..buy normal tv remote versions of this model..qs well you save some money alao is in vereaint of normal remote..and remote is very good build quality.. as installation wall mount is free..its dont come with box..fast smooth experience is running the tv..as I compare to andro...
138,5,Highly recommended,Best tv 👌🏻👌🏻👌🏻
139,5,Perfect product!,Good tv economic pricing. Installation good in covid times.
140,5,Super!,Nice item👌
141,5,Wonderful,Must buy
142,5,Excellent,Very nice product sound quality & hd good
143,5,Classy product,Awesome
144,5,Simply awesome,Superb quality
145,4,Really Nice,good LED👍👍👍sound bass good nicc pasa vasul
146,5,Must buy!,Very good smart led tv..osammm picture quality amazing sound quality.. Samsung is best choice in other brand's
147,5,Terrific purchase,Excellent picture quality.  Delivery was on next day. Installation was also done on the same day by a professional guy from Samsung. Sound is also very good. Wide viewing angle. Trust on samsung is really worthy. Also thanks to Flipkart for a very smooth experience.
148,5,Simply awesome,Good product. Value of money. Thank you flipkart and Samsung. The delivery agents and Samsung service engineers are helped us alot.
149,5,Awesome,Delivered in one day.. Installed within 48hours as expected.. Picture and sound quality are very good.. I am using samsung products from the last 10years.. But never bought from flipkart until now and i am happy with this purchase.. If u are looking for smart tv you can buy this one without any hesitation..
